category;year;month;number month;description;cost
saida;2023;Julho;7;Taxas de Cobrança; 1167.51 
saida;2023;Agosto;8;Taxas de Cobrança; 1157.62 
saida;2023;Setembro;9;Taxas de Cobrança; 1125.41 
saida;2023;Outubro;10;Taxas de Cobrança; 1015.92 
saida;2023;Novembro;11;Taxas de Cobrança; 1128.04 
saida;2023;Dezembro;12;Taxas de Cobrança; 585.36 
saida;2023;Julho;7;Tarifas Bancárias; 795.44 
saida;2023;Agosto;8;Tarifas Bancárias; 456.31 
saida;2023;Setembro;9;Tarifas Bancárias; 373.29 
saida;2023;Outubro;10;Tarifas Bancárias; 312.98 
saida;2023;Novembro;11;Tarifas Bancárias; 301.64 
saida;2023;Dezembro;12;Tarifas Bancárias; 276.37 
saida;2023;Julho;7;Tarifas Administrativas; 7340.00 
saida;2023;Agosto;8;Tarifas Administrativas; 11340.00 
saida;2023;Setembro;9;Tarifas Administrativas; 10078.03 
saida;2023;Outubro;10;Tarifas Administrativas; 9340.00 
saida;2023;Novembro;11;Tarifas Administrativas; 9340.00 
saida;2023;Dezembro;12;Tarifas Administrativas; 9340.00 
saida;2023;Julho;7;Zeladoria; 7839.89 
saida;2023;Agosto;8;Zeladoria; 10247.06 
saida;2023;Setembro;9;Zeladoria; 8310.6 
saida;2023;Outubro;10;Zeladoria; 9158.99 
saida;2023;Novembro;11;Zeladoria; 7104.77 
saida;2023;Dezembro;12;Zeladoria; 16634.3 
saida;2023;Julho;7;Projetos; 15784.06 
saida;2023;Agosto;8;Projetos; 78120.56 
saida;2023;Setembro;9;Projetos; 43368.78 
saida;2023;Outubro;10;Projetos; 46273.45 
saida;2023;Novembro;11;Projetos; 101488.03 
saida;2023;Dezembro;12;Projetos; 14339.65 
saida;2023;Julho;7;Contratos; 32809.62 
saida;2023;Agosto;8;Contratos; 26137.34 
saida;2023;Setembro;9;Contratos; 31042.54 
saida;2023;Outubro;10;Contratos; 29002.83 
saida;2023;Novembro;11;Contratos; 35565.75 
saida;2023;Dezembro;12;Contratos; 37173.83 
saida;2024;Janeiro;1;Taxas de Cobrança; 692.78 
saida;2024;Janeiro;1;Tarifas Bancárias; 230.68 
saida;2024;Janeiro;1;Tarifas Administrativas; 9340.00 
saida;2024;Janeiro;1;Zeladoria; 8540.05 
saida;2024;Janeiro;1;Projetos; 9266.34 
saida;2024;Janeiro;1;Contratos; 35296.55 
saida;2024;Fevereiro;2;Taxas de Cobrança; 747.99 
